"data","group","station","S_10","N_10","nmin","alpha","beta","logk"
"metaG","core",7,375,13.8528738523629,0.0005382131324004,2.30341215060247,1.39770695539856,-1.66589767323265
"metaG","core",11,137,9.45073872145217,0.0026905829596412,1.85171312076233,0.811346185903493,-1.49982274203072
"metaG","core",18,376,13.1172036906831,0.0015292645627693,4.29828148281149,1.45722067598956,-1.95225751406218
"metaG","core",22,485,17.1899615648353,0.0009274717121127,1.63642854983211,2.40290498541961,-1.2813492969746
"metaG","core",23,471,12.12044335653,0.001262284735371,3.02322504235273,1.99342366377593,-1.77333633887827
"metaG","core",25,488,25.037487170318,0.0008325701440346,3.89220054333689,0.519972714666689,-2.10970139680109
"metaG","core",26,462,17.9610935669196,0.0017344686218858,4.71132670110393,0.933417571749659,-2.10421375337814
"metaG","core",30,423,17.0164784090456,0.0012893521005694,3.93151005584188,1.65332001759583,-1.78243012006377
"metaG","core",36,776,85.7836481841334,0.0004426606858289,2.63339578749294,-0.0470433307907978,-2.24600722281702
"metaG","core",38,260,9.42852422457682,0.0037926675094816,3.50792224225561,1.74070144286305,-1.75332975070073
"metaG","core",39,611,23.377578636684,0.0002020944332169,1.84769793885547,1.25937261404725,-1.59365660718367
"metaG","core",41,357,16.5266377361764,0.000915827158438,6.73400673400673,0.337275247559815,-2.57862406892042
"metaG","core",46,484,10.7340469746813,0.0008202410246703,3.54438684499566,1.30076007857529,-2.08105075771503
"metaG","core",51,297,8.78971991926293,0.0010744600838078,4.6395403281341,1.60355439179935,-2.02064864283871
"metaG","core",52,525,13.1856081341647,0.0007077641729775,3.2523901265338,2.01334822202811,-1.82915579741379
"metaG","core",64,1230,34.2625662951045,0.0005317349059796,3.62306253220637,1.18344405537249,-2.02710545536471
"metaG","core",65,1378,50.6091401055427,0.0006787463849377,2.82491454737407,0.713118006183092,-1.97284367142035
"metaG","core",66,1124,54.7704137613081,0.0005059814232534,5.08778527491472,0.087491309432949,-2.63226703580306
"metaG","core",67,1167,29.5290867077486,0.0008810572687224,6.73400673400673,0.155402579467132,-3.02244537753211
"metaG","core",68,382,11.3846776237544,0.0002586117720078,2.22974917453037,1.39667404208092,-1.74809961453431
"metaG","core",70,601,16.3060242858285,0.0010210332856851,2.39506805890159,2.62841216603978,-1.54126345545598
"metaG","core",72,343,11.4621968501284,0.0008965092172353,2.78194749239057,2.07964642926835,-1.63359464530143
"metaG","core",76,383,21.8324973157263,0.0009037505648441,2.12469465220366,0.693246890573529,-1.65700602524099
"metaG","core",78,285,9.13758984650331,0.0007077641729775,1.41355929325829,6.01226048260029,-0.866866676038569
"metaG","core",80,5574,121.533721316831,0.0004960499724416,6.73400673400673,1.84377072286174,-2.31327757837059
"metaG","core",81,1821,24.6453977809964,0.0004092594960992,6.73400673400673,0.880952998213131,-2.91633957860789
"metaG","core",82,1272,79.0133557428349,0.000671727010143,2.00291918310167,0.361865917761873,-1.81417554251334
"metaG","core",84,13389,296.91038219626,0.0005511666360462,6.73400673400673,1.32981159937552,-2.54455807817374
"metaG","core",85,9979,412.557101945627,0.0011023148612085,6.73400673400673,0.643096464049618,-2.6369639918238
"metaG","core",92,4018,76.5861851400878,0.0004593055300385,6.73400673400673,1.44174316782264,-2.50344793570812
"metaG","core",98,182,10.204116116644,0.0025239777889954,6.3280193946734,0.142037694762343,-2.47780312857976
"metaG","core",100,2150,111.754858935992,0.0009030024832568,6.73400673400673,0.37087022113096,-2.56877150448456
"metaG","core",102,1130,103.337661553671,0.0001837222120154,1.98807644529807,0.00769604158200954,-1.93737090252652
"metaG","core",109,1083,28.5562726550884,0.0007141764015711,6.73400673400673,0.962986643559836,-2.42661958082003
"metaG","core",110,1213,67.8044665403103,0.0009184512012374,2.91225404103233,0.476467808125525,-1.96216466455857
"metaG","core",111,842,35.6815350993849,0.0012648958125291,3.96111421680846,0.585379891082912,-2.14660490040704
"metaG","core",122,3063,205.78803167703,0.0003397473515149,6.73400673400673,0.220073536050431,-2.58032637312325
"metaG","core",123,3981,117.553190783246,0.0003088612286499,6.73400673400673,0.521818267475447,-2.64680098836962
"metaG","core",124,1150,80.6637402026906,0.000539374325782,6.73400673400673,0.0354597504570766,-2.61300986448784
