"station","N_10","S_10","nmin","zeta","zeta_low","zeta_high","alpha","alpha_low","alpha_high","logk","logk_low","logk_high","logN_mean","logN_low","logN_high","KS","p_KS","CvM","p_CvM","data","sector","rejected"
7,1.84541820888262,61,0.0005382131324004,0.739052915514061,0.474351901419883,1.18315508973595,75.0913493244228,46.3836072497068,125.078836695081,0.467309247989771,0.315302514280952,0.597024460079688,0.262504694758275,0.134561209874906,0.378960406798666,0.0868303908359181,0.17825,0.0633474809307937,0.313,"metaG","Q",0
11,0.0062748123503222,2,0.0026905829596412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"metaG","Q",NA
18,0.705763318722295,26,0.0015292645627693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"metaG","Q",NA
22,3.67537460367858,107,0.0009274717121127,0.806599774876718,0.439843305538826,1.52257373031117,3.10545916024249,0.83949072895143,184.805598311036,-0.903765826157809,-1.62528910883245,1.02433417526883,0.563131687832378,0.45306288373369,0.681970181006181,0.0453038831366286,0.625,0.0431215715116046,0.41,"metaG","Q",0
23,1.40007161177019,67,0.001262284735371,0.885442144073715,0.497064385942103,1.449388287628,356.136919769214,199.485710195099,583.600707963622,0.888534661433621,0.751628924318232,0.996039601085577,0.14311219773945,0.0377387200427639,0.24275449059595,0.0656852839709946,0.4915,0.0458309548612367,0.537,"metaG","Q",0
25,4.54550264741492,73,0.0008325701440346,1.01548432319223,0.440877812367701,3.21476089664567,0.596506829007821,-0.0600678395275101,172.67792387086,-1.37007681744139,-2.26543562508408,1.0808729184378,0.695873036823243,0.455959728839206,1.08451465919965,0.0719881033063453,0.17625,0.0471759473427045,0.3315,"metaG","Q",0
26,2.69575921108037,65,0.0020728073584661,0.140168552139734,0.00380899458701467,0.495862378230794,113.262793253157,2.1045457449231,403.219231202651,1.12578381374671,-0.568506423308146,1.48721907987382,0.425207490466626,0.257194472536134,0.57828713961513,0.0741195003003214,0.372,0.0385102121917303,0.68125,"metaG","Q",0
30,0.761688905883689,25,0.0012893521005694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"metaG","Q",NA
36,23.3620261952509,268,0.0004426606858289,1.53033034118432,1.00016227587063,2.67272053574797,0.0936497074181346,-0.126093934166141,0.528127556253171,-1.9238325642921,-2.32124704281354,-1.52031993070878,1.4166526615327,1.12180201422108,2.08702555468731,0.0303580344143769,0.5845,0.0405875984408452,0.4645,"metaG","Q",0
38,5.61114057558239,23,0.0046865846514352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"metaG","Q",NA
